Date,Clicks,Impressions,CTR,Position
2026-01-19,0,2,0%,1
2026-01-20,0,4,0%,1
2026-01-21,1,3,33.33%,7.7
2026-01-22,0,2,0%,10
2026-01-23,0,1,0%,6
2026-01-24,3,24,12.5%,2.3
2026-01-25,1,36,2.78%,26.6
2026-01-26,0,39,0%,34.6
2026-01-27,3,47,6.38%,26
2026-01-28,0,39,0%,40.4
2026-01-29,4,61,6.56%,33.5
2026-01-30,1,46,2.17%,27.7
2026-01-31,1,50,2%,43.9
2026-02-01,1,39,2.56%,22.2
2026-02-02,1,69,1.45%,20
2026-02-03,0,78,0%,48.7
2026-02-04,0,48,0%,51
2026-02-05,0,39,0%,39.8
2026-02-06,0,32,0%,39.5
2026-02-07,0,21,0%,26.1
2026-02-08,0,29,0%,38.1
2026-02-09,0,19,0%,39.5
2026-02-10,0,18,0%,41.8
2026-02-11,0,26,0%,39.9
2026-02-12,0,25,0%,39.3
2026-02-13,0,23,0%,32.5
2026-02-14,0,12,0%,11.8
2026-02-15,0,4,0%,4.2
2026-02-16,0,10,0%,6.7
2026-02-17,0,8,0%,31
2026-02-18,0,11,0%,17.1
2026-02-19,0,11,0%,9.7
2026-02-20,0,5,0%,10.2
2026-02-21,0,5,0%,13.8
2026-02-22,0,9,0%,23.6
2026-02-23,0,17,0%,19.8
2026-02-24,0,19,0%,22.7
2026-02-25,0,26,0%,24.4
2026-02-26,0,25,0%,16.5
2026-02-27,0,19,0%,16.2
