Country,Clicks,Impressions,CTR,Position
United States,14,616,2.27%,33.29
Russia,1,3,33.33%,9.33
Sri Lanka,1,2,50%,6.5
United Kingdom,0,193,0%,42.15
Italy,0,33,0%,3.12
India,0,16,0%,16.25
Brazil,0,8,0%,6.88
France,0,8,0%,8.12
Australia,0,8,0%,25
Philippines,0,6,0%,9.17
Mexico,0,6,0%,9.67
Egypt,0,6,0%,20.67
Vietnam,0,6,0%,26.83
South Korea,0,5,0%,7.6
Colombia,0,5,0%,14.6
Pakistan,0,5,0%,17.8
Switzerland,0,5,0%,27.2
Hungary,0,4,0%,7.25
Canada,0,4,0%,7.5
Netherlands,0,4,0%,10
Germany,0,4,0%,33.25
Indonesia,0,3,0%,8
Bangladesh,0,3,0%,8.67
Iraq,0,3,0%,9.67
Saudi Arabia,0,3,0%,24
Austria,0,3,0%,31.67
Morocco,0,2,0%,6
Ukraine,0,2,0%,8
Hong Kong,0,2,0%,8.5
Turkey,0,2,0%,9.5
Chile,0,2,0%,10
Spain,0,2,0%,18
South Africa,0,2,0%,18
Venezuela,0,2,0%,40
Peru,0,2,0%,42.5
Argentina,0,1,0%,1
Malta,0,1,0%,1
Tunisia,0,1,0%,1
Moldova,0,1,0%,3
Mauritius,0,1,0%,4
Singapore,0,1,0%,5
New Zealand,0,1,0%,7
Taiwan,0,1,0%,7
Nepal,0,1,0%,10
Oman,0,1,0%,10
Portugal,0,1,0%,12
Serbia,0,1,0%,13
Barbados,0,1,0%,14
Israel,0,1,0%,15
Malaysia,0,1,0%,16
Qatar,0,1,0%,16
Latvia,0,1,0%,19
Thailand,0,1,0%,24
Romania,0,1,0%,25
Trinidad & Tobago,0,1,0%,39
Ecuador,0,1,0%,45
