unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,ads_sdk_received_count,total_count
1771293600,PageView,4,0,0,0,0,0,4
1771297200,PageView,5,0,0,0,0,0,5
1771344000,PageView,2,0,0,0,0,0,2
1771362000,PageView,2,0,0,0,0,0,2
1771372800,PageView,2,0,0,0,0,0,2
1771383600,PageView,2,0,0,0,0,0,2
1771455600,PageView,2,0,0,0,0,0,2
1771462800,PageView,4,0,0,0,0,0,4
1771509600,PageView,2,0,0,0,0,0,2
1771527600,PageView,3,0,0,0,0,0,3
1771538400,PageView,3,0,0,0,0,0,3
1771549200,PageView,8,0,0,0,0,0,8
1771552800,PageView,4,0,0,0,0,0,4
1771563600,PageView,4,0,0,0,0,0,4
1771567200,PageView,6,0,0,0,0,0,6
1771592400,PageView,2,0,0,0,0,0,2
1771617600,PageView,2,0,0,0,0,0,2
1771624800,PageView,2,0,0,0,0,0,2
1771686000,PageView,2,0,0,0,0,0,2
1771689600,PageView,2,0,0,0,0,0,2
1771700400,PageView,1,0,0,0,0,0,1
1771711200,PageView,2,0,0,0,0,0,2
1771725600,PageView,3,0,0,0,0,0,3
1771729200,PageView,1,0,0,0,0,0,1
1771740000,PageView,1,0,0,0,0,0,1
1771772400,PageView,2,0,0,0,0,0,2
1771776000,PageView,9,0,0,0,0,0,9
1771790400,PageView,6,0,0,0,0,0,6
1771797600,PageView,14,0,0,0,0,0,14
1771801200,PageView,2,0,0,0,0,0,2
1771812000,PageView,2,0,0,0,0,0,2
1771822800,PageView,6,0,0,0,0,0,6
1771826400,PageView,1,0,0,0,0,0,1
1771880400,PageView,2,0,0,0,0,0,2
1771884000,PageView,2,0,0,0,0,0,2
1771902000,PageView,4,0,0,0,0,0,4
1772323200,PageView,2,0,0,0,0,0,2
1772334000,PageView,35,0,0,0,0,0,35
1772341200,PageView,2,0,0,0,0,0,2
1772384400,PageView,1,0,0,0,0,0,1
1772395200,PageView,2,0,0,0,0,0,2
1772406000,PageView,3,0,0,0,0,0,3
1772420400,PageView,6,0,0,0,0,0,6
1772456400,PageView,2,0,0,0,0,0,2
1772481600,PageView,1,0,0,0,0,0,1
1772488800,PageView,2,0,0,0,0,0,2
1772672400,PageView,2,0,0,0,0,0,2
1772866800,PageView,2,0,0,0,0,0,2
1772917200,PageView,6,0,0,0,0,0,6
1772946000,PageView,2,0,0,0,0,0,2
1773093600,PageView,2,0,0,0,0,0,2
1773183600,PageView,2,0,0,0,0,0,2
1773435600,PageView,6,0,0,0,0,0,6
1773529200,PageView,8,0,0,0,0,0,8
1773532800,PageView,2,0,0,0,0,0,2
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update
