unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,ads_sdk_received_count,total_count
1771293600,ViewContent,2,2,0,0,0,0,4
1771297200,ViewContent,3,3,0,0,0,0,6
1771344000,ViewContent,1,1,0,0,0,0,2
1771362000,ViewContent,1,1,0,0,0,0,2
1771372800,ViewContent,1,1,0,0,0,0,2
1771383600,ViewContent,1,1,0,0,0,0,2
1771455600,ViewContent,1,1,0,0,0,0,2
1771462800,ViewContent,1,3,0,0,0,0,4
1771509600,ViewContent,1,1,0,0,0,0,2
1771527600,ViewContent,2,2,0,0,0,0,4
1771549200,ViewContent,2,4,0,0,0,0,6
1771552800,ViewContent,2,2,0,0,0,0,4
1771563600,ViewContent,2,2,0,0,0,0,4
1771567200,ViewContent,3,3,0,0,0,0,6
1771592400,ViewContent,1,1,0,0,0,0,2
1771617600,ViewContent,1,1,0,0,0,0,2
1771624800,ViewContent,1,1,0,0,0,0,2
1771686000,ViewContent,1,2,0,0,0,0,3
1771689600,ViewContent,1,1,0,0,0,0,2
1771711200,ViewContent,1,1,0,0,0,0,2
1771725600,ViewContent,1,2,0,0,0,0,3
1771729200,ViewContent,1,2,0,0,0,0,3
1771740000,ViewContent,1,1,0,0,0,0,2
1771772400,ViewContent,1,1,0,0,0,0,2
1771776000,ViewContent,2,5,0,0,0,0,7
1771790400,ViewContent,2,4,0,0,0,0,6
1771797600,ViewContent,4,7,0,0,0,0,11
1771801200,ViewContent,1,1,0,0,0,0,2
1771812000,ViewContent,1,1,0,0,0,0,2
1771822800,ViewContent,3,5,0,0,0,0,8
1771880400,ViewContent,1,2,0,0,0,0,3
1771884000,ViewContent,1,1,0,0,0,0,2
1771902000,ViewContent,2,2,0,0,0,0,4
1772323200,ViewContent,1,1,0,0,0,0,2
1772334000,ViewContent,17,38,0,0,0,0,55
1772341200,ViewContent,1,1,0,0,0,0,2
1772395200,ViewContent,1,1,0,0,0,0,2
1772406000,ViewContent,1,4,0,0,0,0,5
1772420400,ViewContent,3,3,0,0,0,0,6
1772456400,ViewContent,1,1,0,0,0,0,2
1772488800,ViewContent,1,1,0,0,0,0,2
1772672400,ViewContent,1,1,0,0,0,0,2
1772866800,ViewContent,1,3,0,0,0,0,4
1772917200,ViewContent,3,15,0,0,0,0,18
1772946000,ViewContent,1,1,0,0,0,0,2
1773093600,ViewContent,1,1,0,0,0,0,2
1773183600,ViewContent,1,1,0,0,0,0,2
1773435600,ViewContent,3,3,0,0,0,0,6
1773529200,ViewContent,4,4,0,0,0,0,8
1773532800,ViewContent,1,1,0,0,0,0,2
1771437600,ViewContent,0,1,0,0,0,0,1
1771538400,ViewContent,0,1,0,0,0,0,1
1771700400,ViewContent,0,1,0,0,0,0,1
1771765200,ViewContent,0,1,0,0,0,0,1
1771783200,ViewContent,0,1,0,0,0,0,1
1771826400,ViewContent,0,1,0,0,0,0,1
1771830000,ViewContent,0,2,0,0,0,0,2
1771862400,ViewContent,0,1,0,0,0,0,1
1772308800,ViewContent,0,8,0,0,0,0,8
1772312400,ViewContent,0,14,0,0,0,0,14
1772330400,ViewContent,0,30,0,0,0,0,30
1772384400,ViewContent,0,1,0,0,0,0,1
1772398800,ViewContent,0,2,0,0,0,0,2
1772402400,ViewContent,0,2,0,0,0,0,2
1772481600,ViewContent,0,1,0,0,0,0,1
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update
